created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,possibly_sensitive,extended_entities.media,geo.type,geo.coordinates,coordinates.type,coordinates.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,user.entities.url.urls
Tue Feb 24 17:04:10 +0000 2015,570267956648792064,570267956648792064,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,135973615,135973615,Jenelle Pierce,JNLpierce,"Boston, MA",Music Aficionado  | Cyclist Advocate | Beer Juice Fan | Sustainable Lover | Wannabe Quilter | Art & Science Obsessed | Crunchy Mom | AEC Marketing Director,,[],False,428,1191,20,Thu Apr 22 17:53:03 +0000 2010,1623,,,True,False,4402,,False,False,False,333399,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/2197318733/163117_10150364998330237_855335236_16602850_7224257_n_normal.jpeg,https://pbs.twimg.com/profile_images/2197318733/163117_10150364998330237_855335236_16602850_7224257_n_normal.jpeg,https://pbs.twimg.com/profile_banners/135973615/1398267684,CC3366,CC3366,333399,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,
Tue Feb 24 16:49:01 +0000 2015,570264145116819457,570264145116819457,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,1026965654,1026965654,Les Shu,Les_Shu,,Senior Editor @Insider_Reviews @BusinessInsider//Insta: #lesshoots and leslshu//Opinions are my own//Right now I'm cruising to the sounds of my enhanced CD-ROM,,[],False,42806,335,96,Fri Dec 21 19:03:50 +0000 2012,1273,,,True,True,6513,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/808740257466290176/-YKLD8iL_normal.jpg,https://pbs.twimg.com/profile_images/808740257466290176/-YKLD8iL_normal.jpg,https://pbs.twimg.com/profile_banners/1026965654/1481653679,0099CC,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,none,False,"[{'id': 570264144403759104, 'id_str': '570264144403759104', 'indices': [36, 58], 'media_url': 'http://pbs.twimg.com/media/B-n8N8tUAAAJcel.jpg', 'media_url_https': 'https://pbs.twimg.com/media/B-n8N8tUAAAJcel.jpg', 'url': 'http://t.co/UT5GrRwAaA', 'display_url': 'pic.twitter.com/UT5GrRwAaA', 'expanded_url': 'https://twitter.com/DT_Les/status/570264145116819457/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 377, 'resize': 'fit'}, 'small': {'w': 640, 'h': 377, 'resize': 'fit'}, 'large': {'w': 640, 'h': 377, 'resize': 'fit'}}}]",Point,"[40.74804263, -73.99295302]",Point,"[-73.99295302, 40.74804263]",01a9a39529b27f36,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,city,Manhattan,"Manhattan, NY",US,United States,[],Polygon,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]",
Tue Feb 24 00:08:07 +0000 2015,570012257549070337,570012257549070337,@VirginAmerica I'm #elevategold for a good reason: you rock!!,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",569936175026335744,569936175026335744,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,516560583,516560583,Ari Daie,arieldaie,"Los Angeles, New York",CEO & Prez Fevo,https://t.co/bKs6PKEDOY,[],False,184,8,16,Tue Mar 06 14:20:25 +0000 2012,55,,,True,False,175,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/951264056358285312/koxdkcZ7_normal.jpg,https://pbs.twimg.com/profile_images/951264056358285312/koxdkcZ7_normal.jpg,https://pbs.twimg.com/profile_banners/516560583/1515634214,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/bKs6PKEDOY', 'expanded_url': 'http://www.fevo.com', 'display_url': 'fevo.com', 'indices': [0, 23]}]"
Tue Feb 24 19:13:57 +0000 2015,570300616901320704,570300616901320704,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",570299878011752451,570299878011752451,12101862,12101862,VirginAmerica,,,,,False,0,2,False,False,en,20607927,20607927,Chris McGinnis,cjmcginnis,"San Francisco, CA",Money-saving jetsetter finding joy in the journey! ✈️ Senior travel correspondent on https://t.co/i9II1fgOPc - https://t.co/g5spKZNtBV,https://t.co/OAuYj97mxz,"[{'url': 'https://t.co/i9II1fgOPc', 'expanded_url': 'http://SFGATE.com', 'display_url': 'SFGATE.com', 'indices': [85, 108]}, {'url': 'https://t.co/g5spKZNtBV', 'expanded_url': 'http://instagram.com/chrisjmcginnis', 'display_url': 'instagram.com/chrisjmcginnis', 'indices': [111, 134]}]",False,32057,4485,1035,Wed Feb 11 18:14:22 +0000 2009,27838,,,True,True,48102,,False,False,False,CCEBED,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,True,http://pbs.twimg.com/profile_images/714612428194099200/ZlgX99TS_normal.jpg,https://pbs.twimg.com/profile_images/714612428194099200/ZlgX99TS_normal.jpg,https://pbs.twimg.com/profile_banners/20607927/1429033902,1B95E0,FFFFFF,DDFFCC,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/OAuYj97mxz', 'expanded_url': 'http://www.sfgate.com/chris-mcginnis', 'display_url': 'sfgate.com/chris-mcginnis', 'indices': [0, 23]}]"
Mon Feb 23 21:30:10 +0000 2015,569972508499283968,569972508499283968,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,2,False,False,en,14825399,14825399,Travelzoo,Travelzoo,"New York, NY","Inspiring your next adventure 🌍 
Follow for irresistible, flexible travel deals 🧭 
#Travelzoo",https://t.co/sLw09j6nBr,[],False,549107,24182,5187,Sun May 18 22:37:28 +0000 2008,6086,,,True,True,28337,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1280269305934987267/NQdICC6r_normal.jpg,https://pbs.twimg.com/profile_images/1280269305934987267/NQdICC6r_normal.jpg,https://pbs.twimg.com/profile_banners/14825399/1589484489,CF0000,000000,FFFFFF,000000,True,False,False,False,False,False,False,none,False,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/sLw09j6nBr', 'expanded_url': 'http://Travelzoo.com', 'display_url': 'Travelzoo.com', 'indices': [0, 23]}]"
Mon Feb 23 22:35:50 +0000 2015,569989034501500928,569989034501500928,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,23403598,23403598,Rachel Stern,rachie1126,"New York, NY",,,[],False,73,163,1,Mon Mar 09 04:52:08 +0000 2009,11,,,False,False,161,,False,False,False,D91C87,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,True,http://pbs.twimg.com/profile_images/528730288/RachelStern_normal.jpg,https://pbs.twimg.com/profile_images/528730288/RachelStern_normal.jpg,https://pbs.twimg.com/profile_banners/23403598/1371183581,7F24C9,FFFFFF,7AC3EE,3D1957,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,
Tue Feb 24 13:05:28 +0000 2015,570207886493782019,570207886493782019,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,117512566,117512566,"Heather Gonzalez, MS",blackjackpro911,,"Public Safety Instructor: Active Shooter, Social Media, OMG, Human Trafficking & Sovereign Citizens. SNHU MS Graduate 2017: Counterterrorism & Homeland Security",,[],False,247,956,14,Thu Feb 25 20:03:16 +0000 2010,176,,,True,False,688,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/692210029232046081/IbmD4GZn_normal.jpg,https://pbs.twimg.com/profile_images/692210029232046081/IbmD4GZn_normal.jpg,https://pbs.twimg.com/profile_banners/117512566/1487432387,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,Point,"[42.361016, -71.02000488]",Point,"[-71.02000488, 42.361016]",67b98f17fdcf20be,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,city,Boston,"Boston, MA",US,United States,[],Polygon,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",
Mon Feb 23 18:38:14 +0000 2015,569929243146088448,569929243146088448,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",569902161959788544,569902161959788544,12101862,12101862,VirginAmerica,,,,,False,0,1,False,False,en,48744978,48744978,another discontent,sadpleab,"Los Angeles, CA",I like my humor funfully offensive.,,[],False,16,80,0,Fri Jun 19 16:06:48 +0000 2009,219,,,False,False,204,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/821782776126971904/YTAK38HP_normal.jpg,https://pbs.twimg.com/profile_images/821782776126971904/YTAK38HP_normal.jpg,https://pbs.twimg.com/profile_banners/48744978/1469925342,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,
Tue Feb 24 19:12:29 +0000 2015,570300248553349120,570300248553349120,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",570299878011752451,570299878011752451,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,2707551,2707551,Matthew Kramer,pilot,Los Angeles,A pilot and geek from Los Angeles. Helps make late-night television.,https://t.co/3KLI3iJzRr,[],False,3559,688,105,Wed Mar 28 19:10:05 +0000 2007,21656,,,True,False,27615,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/643385906/595px-Airport_Sign.svg_normal.png,https://pbs.twimg.com/profile_images/643385906/595px-Airport_Sign.svg_normal.png,https://pbs.twimg.com/profile_banners/2707551/1468958686,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,False,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3KLI3iJzRr', 'expanded_url': 'http://Teamcoco.com', 'display_url': 'Teamcoco.com', 'indices': [0, 23]}]"
Tue Feb 24 00:24:11 +0000 2015,570016304284901379,570016304284901379,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,479822217,479822217,Amanda Gottesman,GottAmanda,Los Angeles,gluten-free hottie / farmer's market junkie,,[],False,217,175,11,Tue Jan 31 20:17:06 +0000 2012,846,,,True,False,1704,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/584475079951552512/hW6Qc68E_normal.jpg,https://pbs.twimg.com/profile_images/584475079951552512/hW6Qc68E_normal.jpg,https://pbs.twimg.com/profile_banners/479822217/1398445313,114F2F,FFFFFF,F6F6F6,333333,True,False,False,False,False,False,False,none,,,Point,"[34.0219817, -118.38591198]",Point,"[-118.38591198, 34.0219817]",a75bc1fb166cd594,https://api.twitter.com/1.1/geo/id/a75bc1fb166cd594.json,city,Culver City,"Culver City, CA",US,United States,[],Polygon,"[[[-118.4484512, 33.976882], [-118.369529, 33.976882], [-118.369529, 34.035143], [-118.4484512, 34.035143]]]",
